ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4	Pc2.Hydrophobicity.5	Pc2.Hydrophilicity.5	Pc2.Hydrophobicity.6	Pc2.Hydrophilicity.6	Pc2.Hydrophobicity.7	Pc2.Hydrophilicity.7	Pc2.Hydrophobicity.8	Pc2.Hydrophilicity.8	Pc2.Hydrophobicity.9	Pc2.Hydrophilicity.9	Pc2.Hydrophobicity.10	Pc2.Hydrophilicity.10
3964|0	0.08657756795809267	0.16792474992748765	0.07769332579116336	0.12625165441064046	0.0	0.0	0.11574689368258559	0.058343016246263826	0.0	0.0	0.5396631086278914	0.20467050460900682	0.0	0.0	0.11855557033692016	0.11242471566834084	0.22444738561891636	0.0	0.0	0.3689360631761501	0.31583726067580875	0.3843511760439654	0.492819257982539	0.4267158465060849	0.43777091301946497	0.4451732677124404	0.46547330932997444	0.4637810861297106	0.43368694232994426	0.5712231156261317	0.41623896022575835	0.4344984711617982	0.6559993117178303	0.5307080347582499	0.2623445599791848	0.47326369834812765	0.52483147197245	0.4972623732907502	0.36656604056696523	0.5381575430044987
3711|0	0.08184783213799769	0.15875101447216763	0.07344893645748925	0.0	0.0	0.22638226150173085	0.10942363649222145	0.0	0.16925561289998056	0.17138873753982467	0.08503021542374965	0.0	0.0	0.23772702036048604	0.0	0.0	0.10609290821637335	0.0	0.15960982282734915	0.0	0.3281526977152206	0.3131517524654781	0.572187108791422	0.5206198587539433	0.43493071593759625	0.5546104722526203	0.3140020164007725	0.2621989783083284	0.54419169288284	0.5540857851543856	0.49975866984953643	0.4925210632287229	0.5715055514807064	0.442145576243348	0.2109763685560978	0.3915362221649975	0.5593803164352777	0.49104836478652536	0.5534943475431146	0.6902921653978433
3039|0	0.0	0.0680021895744742	0.0	0.3067584358242846	0.0	0.09697254228027542	0.0	0.0	0.14500382644151474	0.0	0.0	0.11051015378999615	0.0	0.1018321549583728	0.0	0.09105419934865051	0.18178277678476118	0.0	0.136740133169436	0.09960199482128478	0.5842765057484802	0.3562206570119907	0.7457123095627675	0.6809241672184955	0.48952327160033715	0.6816128459888113	0.35084205505479926	0.2451561281558461	0.629649838474815	0.8764100856106875	0.617198851638129	0.47447751720953196	0.5364559009791163	0.4926763160817802	0.31141540161686515	0.5473067349499653	0.4334943157005457	0.44509058920067057	0.4080907457968046	0.6033242239399483
4739|0	0.34123423978825823	0.08273169906273548	0.07655453828352482	0.12440112471072783	0.0	0.0	0.11405033718649739	0.05748785529926322	0.0	0.08931773761592467	0.08862550223149034	0.13444703536667366	0.0	0.0	0.0	0.22155370778644892	0.11057877752064695	0.0	0.0	0.363528394298753	0.7158697285130917	0.6074592887792603	0.5609817424873209	0.5452220587705747	0.44799623005257405	0.46648047284794975	0.40673579475574495	0.3775372772965625	0.3469805972950139	0.598925150230342	0.46897497864712084	0.4650897702833417	0.5367853658719358	0.46746242943014205	0.24934999353203394	0.5096750789843341	0.4766507301718151	0.4933305353452516	0.33649058277964744	0.5386403265685802
1542|0	0.26468906575429496	0.08556459104365427	0.0	0.0	0.09106789873432812	0.12201689349411507	0.0	0.29728174837363175	0.5473585418442388	0.09237614818300477	0.09166020933192237	0.27810151921230913	0.0	0.38439468266965304	0.0	0.3437101972227882	0.11436520685362246	0.13905075960615457	0.0	0.25065086896009114	0.5557259473906498	0.4860719799356912	0.49211940086637956	0.3979588435663296	0.3974295512289552	0.3412388328830166	0.41755144438406905	0.36751534238127265	0.31792049961303964	0.5617278158258646	0.5355424683052676	0.5804694620042733	0.5681130209640507	0.3972721719630048	0.28998880693248547	0.5082215733384904	0.4512332492570086	0.4371657708358289	0.40762733944832247	0.5927465816218344
5267|0	0.0	0.1754309360418817	0.0	0.0	0.0	0.0	0.24184149044669595	0.06095093162865195	0.18703924948203537	0.0	0.2818929441155759	0.0	0.0	0.0	0.0	0.11745006684515547	0.23448011664916807	0.0	0.17637997913386455	0.25695159659528877	0.565242630277947	0.5290418683237866	0.3006391387836198	0.3290836993984523	0.35284161005510783	0.2614313879140908	0.39292014998432717	0.37735149820686265	0.33080547503640306	0.4791196851348228	0.7185908302018278	0.6594571839954851	0.7226002674485053	0.46856626878019314	0.1883313994163024	0.40693459927166553	0.32222271267663866	0.3712474663439739	0.44138508978247337	0.7260172925791958
4824|0	0.5071902075046256	0.08197830643817453	0.37928698852665965	0.36980481381349317	0.0	0.11690277676184256	0.22602348548799825	0.17089303392485936	0.0	0.0	0.08781843794433503	0.0	0.2523201282937616	0.3682834769001646	0.05787702455551903	0.5488403464208617	0.32871539005643835	0.26644539855601107	0.1648435823832441	0.0	0.6206137821284419	0.5973516848071909	0.6072437260498208	0.5076031002408753	0.40899770601377766	0.49684914960670556	0.3697628222641457	0.3726089645556913	0.4806270013275828	0.6185759436743827	0.5818555717302352	0.5591683535186014	0.52228091089953	0.3923902614811133	0.2688632304331663	0.45285194339554496	0.4900875743285007	0.44235234024073933	0.34763137739681804	0.5456069429939645
1381|0	0.48867703646808364	0.07898598051011106	0.0	0.3563064069693442	0.0	0.0	0.7622065627284237	0.16465519273788093	0.0	0.2558214987409703	0.25383881648485435	0.1283598794104492	0.0	0.11828020034613476	0.05576443003214647	0.10576137709859745	0.21114453746331505	0.0	0.15882655486618685	0.23137964441883968	0.5203484055263167	0.6273719815373893	0.5409258943360495	0.4428439669414819	0.37138842480131656	0.4519778245813951	0.36798299029934445	0.31821020561421665	0.44131652457762954	0.5487427790180371	0.56276631146331	0.6030288851711054	0.5135638600672707	0.43542439191138815	0.2832901068669032	0.5113205835301905	0.5703250262265508	0.5241126783483068	0.3771036125775667	0.6005489702949034
1141|0	0.24198681839356642	0.0	0.0	0.0	0.0	0.0	0.0	0.16307042586078863	0.0	0.5067185559151546	0.0	0.38137333874838375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13591827881153123	0.16075885322774414	0.7875199726829996	0.7255148175718273	0.1564234948045209	0.1656745527042185	0.5743282865083492	0.5927278936963016	0.12816133177044814	0.3214028543494941	0.9998913343577439	0.954306973770369	0.3658333881053048	0.238491562818843	0.3463757753329108	0.5943324349517376	0.389647701861123	0.3808079712422713	0.5171909181436367	0.7367290991662936
2076|0	0.0	0.0	0.16322725541324892	0.13262214502326475	0.0	0.12577362246953316	0.12158732803639621	0.06128692727098688	0.18807031448944897	0.0	0.47241149294411455	0.07166596871133174	0.0	0.0	0.0	0.0	0.35365905339537257	0.0	0.0	0.25836805758185777	0.47108468797800207	0.5105339000563687	0.6186980567428981	0.5186211051105047	0.32583669768212514	0.25178328199247524	0.3357270549714949	0.22358444239220995	0.4212361539597173	0.5413680410733636	0.6231694673292761	0.664050728826286	0.5640637582506329	0.5084811663791775	0.26785380910986545	0.4453637408504464	0.5601975008352499	0.4716836894559311	0.2902942092773617	0.47820276463382744
