ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4
25|1	0.0	0.37785144137319465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08612111654281268	0.08431128287905919	0.0	0.0	0.0	0.0	0.0	0.6102953838353621	0.0	0.13974656821240108	0.37352346918662593	0.476881041469999	0.019374842534955194	0.0	1.0	0.8288005496834229	0.7008600007331659	0.6153268507324701
28|1	0.18292395662284955	0.0949577747468087	0.055626850212267376	0.11484674984501693	0.7232591527023204	0.23153111253961067	0.0	0.27915781561055714	0.07632651577095441	0.139887057242887	0.08657232647726212	0.33901204258048406	0.0	0.13267539133165102	0.054668658159172386	0.2962160619841605	0.28907895148952356	0.0	0.5917183467800623	0.14047873521642854	0.42399218037044784	0.5920480231439024	0.43505904074618673	0.3719258936689125	0.5144997247719606	0.6220827225748857	0.48713147310471616	0.5231081422290711
29|1	0.10478745561207962	0.10879256921846114	0.0	0.13157925209751406	0.0	0.0	0.0	0.0	0.0	0.08013389318800924	0.09918540999716598	0.19420206089848754	0.0	0.3040108455262671	0.0	0.0	0.16559803514446358	0.0	0.22597608734179955	0.16094566838265975	0.18084367535237433	0.3993545078187385	0.5362139696074111	0.42770387351427375	0.4694943275399327	0.5922134324397921	0.314802553951462	0.4197516107556677
30|1	0.0	0.08884105464345188	0.0	0.0	0.0	0.0	0.0	0.13058791034716016	0.0	0.13087621028992855	0.32398302541038343	0.0	0.0	0.12412908498082409	0.05114716788333807	0.09237841914181036	0.0	0.0	0.0	0.13142977523307184	0.5273723115609893	0.6371275494883004	0.358360076849627	0.30374593584604814	0.6057613306247004	0.6465785437152889	0.5785520622795596	0.591130811601766
31|1	0.18380345157761666	0.0	0.0558943030654338	0.0	0.24224552305064853	0.0	0.0	0.0	0.23008047668441475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14523441883493501	0.0	0.0	0.0	0.46760121703808055	0.6146676726968975	0.40137095838282594	0.3733017787876517	0.5076559720329724	0.6098163422082159	0.46567551886222514	0.5210931190987721
33|1	0.2858159731103404	0.1978268222833855	0.0	0.0	0.0	0.24117595623726124	0.1782499046451169	0.2907866350336088	0.0	0.0	0.3607146079474053	0.0	0.0	0.0	0.05694597915211366	0.3085554732504629	0.45168158042878426	0.15976225470994548	0.0	0.0	0.42488234163016614	0.5735642435099749	0.40173962919498246	0.3452694316106675	0.4564401928728822	0.5949425832240696	0.47516701328785194	0.511828163883607
38|1	0.27858746287340097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5273877786948232	0.25815236716301465	0.0	0.13470698002677867	0.0	0.0	0.0	0.0	0.0	0.0	0.3799136268326376	0.49212717462322025	0.4922751704169831	0.41882935079584993	0.4789462254087538	0.5558427192186597	0.5116452068255269	0.5441585650320738
39|1	0.37022401077066264	0.0	0.056292231953482694	0.0	0.0	0.0	0.086584202107898	0.3531212096319527	0.0	0.14156031922638207	0.350431452740134	0.3430671422728881	0.0	0.0	0.0	0.09991975221756196	0.4388051631906667	0.0	0.19959873275207732	0.14215907456847438	0.4614198661599116	0.5814720759546279	0.35170344989423524	0.3095196975324393	0.45889005105796843	0.5873282000242193	0.5506144851210477	0.5890681573372024
41|1	0.18934677708171974	0.0	0.0	0.0	0.0	0.0	0.0	0.14447979821476645	0.0790064900952509	0.14479876738615277	0.17922410279735243	0.5263731348227939	0.0	0.412001657035545	0.0	0.10220559714544912	0.0	0.1587584540820537	0.0	0.0	0.4602520269327503	0.5442961116222	0.36619865006209673	0.31997146831276085	0.559118771577735	0.6516289879960412	0.4711321148689739	0.4695511735786738
42|1	0.2698463760326558	0.0	0.0	0.0	0.23709774741906334	0.0	0.08414521111820791	0.1372696543314902	0.07506373707138089	0.06878635280614472	0.0	0.0	0.0	0.13048035260311855	0.0	0.09710511202434281	0.0	0.0	0.0	0.0	0.5079119112250319	0.5921658693552403	0.4348298449490069	0.3969078155482485	0.5026632183224234	0.5768510674718501	0.48842113081399063	0.5440714773954038
