ID	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10
310|1	0.2829867567324842	0.08178083149369135	0.07524177993216376	0.09110555060485517	0.0	0.2371871617374101	0.0579790839802558	0.16174101523143491	0.0	0.4618050619359082	0.0819331913620932	0.5921660659072625	0.0	0.1397347341597327	0.057070202826424436	0.0	0.08263655258512495	0.21736755529078214	0.0	0.4478158270656184	0.6158048612742931	0.4868352395597292	0.3359157696686734	0.46084782087425996	0.6065621891038443	0.3668428152117401	0.3392762267375896	0.5467940190043056	0.41351321724881474	0.3657358765829284
575|1	0.0	0.0	0.06650747932137675	0.0	0.0	0.0	0.0	0.035741403365329036	0.0	0.0	0.07242213083158935	0.3738754150634273	0.0	0.0	0.0	0.0	0.0	0.1921348511647866	0.0	0.5937479526375558	0.7011139584864338	0.6168716264291592	0.3964625967117946	0.5035141998630521	0.6314801241514459	0.4797430412226413	0.31677247351002163	0.564204173606107	0.6122404085785529	0.2713686732725902
65|1	0.0	0.3416786906261107	0.06287173260052477	0.15225487279052227	0.0	0.06606421690394403	0.14534127718867687	0.06757507510678414	0.0	0.23152948582912325	0.2738521977055528	0.42412424037046936	0.0	0.4670471564610412	0.04768763491235348	0.12726843866817394	0.0690507752720008	0.0	0.0	0.18709656363084615	0.6081227381083282	0.6234541165800106	0.535421912253941	0.37962568509326694	0.69819412627633	0.5809970072719878	0.3392692526849639	0.5083587122224165	0.5796403309490946	0.4390779453954888
137|1	0.105551337849173	0.2287759754444197	0.1403223003382563	0.169907469573189	0.0	0.07372377460080974	0.0	0.0	0.050741209949127127	0.0	0.2292021911831886	0.23664883476387227	0.2632434458786149	0.13029927888552367	0.05321659155720903	0.1420240809001293	0.0	0.6080700523991813	0.1465416970967213	0.104394372113439	0.5469607081040139	0.49570913314588416	0.5168721751407037	0.4247888221922259	0.5779202652470327	0.4949898754756707	0.44941211372296375	0.5384363786169887	0.4574869943172277	0.37903432276248966
540|1	0.08633299178982558	0.18712140283788145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1408864961772823	0.18747001499785626	0.32260134144289376	0.0	0.10657493124642803	0.0	0.0	0.0	0.0	0.0	0.08538668153550212	0.8382874648131707	0.600034071341545	0.21255255685058816	0.8312282398474433	0.473039558599584	0.3613191640541776	0.9999999999999999	0.2717070676533439	0.4303301778802651	0.6463801784747548
389|1	0.5447749054419917	0.17492826738751527	0.24141196582908517	0.0974368676963275	0.08542969814364308	0.42278386523546324	0.12401660046906919	0.25947164246656484	0.05819714192653529	0.4938978846251047	0.438135408528046	0.5428442024662119	0.3019245342471678	0.448336507968301	0.0	0.08144657568687656	0.35351729011726457	0.2324733628821666	0.0	0.8381388357542116	0.4874848209894141	0.4312375966779184	0.39137493902550746	0.4244783334900177	0.5291512421530727	0.354136848352182	0.3215432017795018	0.5057100703171625	0.3929802381273546	0.35693157025690436
485|1	0.0	0.7542034329600645	0.0	0.0	0.0	0.0	0.0	0.03729040983992819	0.0	0.08517765268680717	0.15112170681079828	0.0	0.0	0.6443344625027576	1.0	0.0	0.0	0.0	0.14493075700904462	0.0	0.6559276453120111	0.3987270289955807	0.6306056030116375	0.4536332629903117	0.6850683696192699	0.5055935938158375	0.6697001432682466	0.33359486422287987	0.428432842427515	0.3005424568785898
425|1	0.20179767482580754	0.0	0.0	0.0	0.0	0.0	0.0	0.036042941963229914	0.0	0.08232822341007172	0.3651656639969191	0.678653424656147	0.0	0.1245559366957097	0.0	0.0	0.0	0.0	0.0	0.19958573701353777	0.5363669184481378	0.6111600213556285	0.4382444111949221	0.26937015567723577	0.6586236339027489	0.5866491966745726	0.2240492566598326	0.46211793193826795	0.6551866646004203	0.4868882024415256
111|1	0.0621444161871056	0.0897961107288827	0.0	0.2000694774241929	0.0	0.0	0.0	0.13319485001425002	0.23899519859590798	0.2028264947634055	0.3598536131043767	0.0	0.0	0.3068600656682314	0.0	0.08361811201920206	0.0	0.0	0.0	0.12292648185055581	0.4567746266402531	0.40638272443014345	0.38495148056061923	0.4937913700424081	0.43944584747310855	0.4298711447964156	0.26324803813768016	0.34826046645294545	0.41985194798105213	0.37419080606396965
315|1	0.2039217343002371	0.0	0.0	0.0	0.0	0.0	0.06963338434932295	0.0971261833189324	0.13070714522007068	0.11092637953092443	0.3936099029799189	0.20319902792131495	0.0	0.16782263158915475	0.13708362035038474	0.0914619605325336	0.0	0.0	0.0	0.8067460572778931	0.34417108380003464	0.3852142880054168	0.30662294998819445	0.32240676809629676	0.40575726411594465	0.393593961789224	0.29065362907005776	0.32912304954039756	0.3354720318099467	0.387037071952129
